ProcessID	Element	Process	CommunityFormula	StrictCarrierDNF	EvidenceClass	DirectionCaveat	RuleSource
cbb	Carbon	Calvin-Benson-Bassham fixation	(K00855+K01601)/2	K00855,K01601	paired sentinel complex	PRK plus RuBisCO supports CBB potential; it does not measure fixation rate	DiTing v0.3 formula tightened with RuBisCO specificity gate
rtca	Carbon	Reverse TCA fixation	(K15230+K15231)/2+((K15232+K15233)/2+K15234)/2	K15230,K15231;K15232,K15233,K15234	alternative enzyme systems	ATP-citrate lyase or citryl-CoA route supports rTCA potential	DiTing v0.3
wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	(K00198+K14138+K00197+K00194+K15023)/5	K00198,K14138,K00197,K00194,K15023	multi-subunit marker set	CODH/ACS homologs require genomic context; potential is not net carbon fixation	DiTing v0.3
three_hp	Carbon	3-hydroxypropionate bicycle	(K14468+K15052+K08691+K14469+K14470+K09709)/6	K14468,K15052,K08691,K14469,K14470,K09709	multi-marker set	A complete bicycle needs both branches; this is a marker-set screen	DiTing v0.3
mcr	Carbon	Methyl-coenzyme M reductase	(K00399+K00401+K00402)/3	K00399,K00401,K00402	multi-subunit marker complex	McrABG can support methanogenesis or anaerobic methane oxidation; direction needs context	DiTing v0.3
cummo	Carbon/Nitrogen	Copper membrane monooxygenase	(K10944+K10945+K10946)/3	K10944,K10945,K10946	ambiguous homologous complex	KEGG KOs merge pmoCAB and amoCAB; methane and ammonia oxidation cannot be separated here	DiTing v0.3 with explicit homology audit
n_fix	Nitrogen	Nitrogen fixation	(K02588+K02586+K02591)/3+(K22896+K22897+K22898+K22899)/4	K02588,K02586,K02591;K22896,K22897,K22898,K22899	alternative nitrogenase complexes	Genetic potential does not establish expression or N2 fixation rate	DiTing v0.3
nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	(K00370+K00371+K00374)/3+(K02567+K02568)/2	K00370,K00371,K00374;K02567,K02568	alternative Nar or Nap complexes	NarGH shares KOs with NxrAB; the NarI gate improves but does not eliminate context ambiguity	DiTing v0.3 with explicit homology audit
dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	(K00362+K00363)/2+(K03385+K15876)/2	K00362,K00363;K03385,K15876	alternative NirBD or NrfAH complexes	This scores the nitrite-to-ammonium step, not a complete nitrate-to-ammonium chain	DiTing v0.3
nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	K00368+K15864	K00368;K15864	alternative NirK or NirS	A single step does not imply complete denitrification	DiTing v0.3
no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	(K04561+K02305)/2	K04561,K02305	NorBC complex	A single step does not imply complete denitrification	DiTing v0.3
n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	K00376	K00376	single sentinel gene	NosZ presence does not establish net N2O consumption	DiTing v0.3
hao	Nitrogen	Hydroxylamine oxidation	K10535	K10535	single sentinel gene	Hao-family annotation alone does not establish a complete nitrification chain	DiTing v0.3
nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	(K00370+K00371)/2	K00370,K00371	ambiguous homologous complex	The same KOs can support nitrate reduction or nitrite oxidation; direction is unresolved	DiTing v0.3 with explicit homology audit
anammox	Nitrogen	Anaerobic ammonium oxidation	(K00368+K15864+(K20932+K20933+K20934)/3+K20935)/3	K00368,K20932,K20933,K20934,K20935;K15864,K20932,K20933,K20934,K20935	multi-step marker set	HzsABC and Hdh raise specificity, but MAG incompleteness can create false negatives	DiTing v0.3
sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	((K00956+K00957)/2+K00958+(K00394+K00395)/2)/2	K00958,K00394,K00395;K00956,K00957,K00394,K00395	activation plus AprAB	Sulfate activation genes also occur in assimilatory metabolism; AprAB and context are required	DiTing v0.3 with strict carrier gate
dsr	Sulfur	DsrAB sulfite/sulfide axis	(K11180+K11181)/2	K11180,K11181	DsrAB complex	DsrAB can operate in reductive or reverse oxidative sulfur metabolism; direction is unresolved	DiTing v0.3 with explicit direction audit
sox	Sulfur	Thiosulfate oxidation by Sox	(K17222+K17223+K17224+K17226+K17227)/5	K17222,K17223,K17224,K17226,K17227	core Sox complex	Core genes support Sox potential; sulfur intermediates and rate require chemistry	DiTing v0.3
sulfur_reduction	Sulfur	Elemental sulfur reduction	(K17219+K17220+K17221)/3	K17219,K17220,K17221	SreABC complex	Direction and substrate use require genomic and physiological validation	DiTing v0.3
phs	Sulfur	Thiosulfate/polysulfide reduction	(K08352+K08353+K08354)/3	K08352,K08353,K08354	PhsABC/PsrABC family	Homology and reversible chemistry do not prove thiosulfate disproportionation	DiTing v0.3 with explicit mechanism audit
