Figure	Panel	PanelRole	Question	AnalysisUnit	Statistic	Gate	ResultID	ClaimID
1	A	Context	Enrollment and exclusions	subject	Count and reason	Sample ledger frozen	F1A	C1
1	B	Context	Cohort and covariate map	cohort	Balance and missingness	Metadata dictionary frozen	F1B	C1
1	C	Diagnostic	Read, host, and negative-control QC	sample	Depth and contamination	QC threshold prespecified	F1C	C1
1	D	Primary	Global community structure	subject	Effect size with cohort adjustment	No joint train-test correction	F1D	C1
2	A	Primary	Species effects	species	Effect + CI + FDR	Cohort-aware model	F2A	C2
2	B	Primary	Functional effects	pathway / gene family	Effect + CI + FDR	Independent denominator	F2B	C2
2	C	Validation	Cross-cohort concordance	feature by cohort	Direction and heterogeneity	Complete cohort holdout	F2C	C2
2	D	Secondary	Taxon-function linkage	feature pair	Association with multiplicity control	No causal arrow	F2D	C2
2	E	Sensitivity	Prevalence and transform sensitivity	feature	Stable sign and rank	Prespecified grid	F2E	C2
3	A	Diagnostic	Assembly and MAG acceptance	MAG	Completeness, contamination, GUNC	MIMAG table complete	F3A	C3
3	B	Primary	Genome phylogeny and novelty	MAG / species	Tree and ANI	Reference release locked	F3B	C3
3	C	Primary	Within-species structure	sample pair	Breadth, popANI, p-distance	Coverage gate passed	F3C	C3
3	D	Primary	Virus discovery and vOTUs	viral contig / vOTU	CheckV tier, ANI, alignment fraction	MIUViG fields complete	F3D	C3
3	E	Validation	Virus-host linkage	vOTU-host pair	Evidence tier and score	Negative control reported	F3E	C3
3	F	Sensitivity	Genome-resolved threshold audit	entity	Yield versus confidence	Alternative thresholds shown	F3F	C3
4	A	Context	Mechanistic hypothesis	claim	Directed evidence chain	No arrow without evidence	F4A	C4
4	B	Primary	Metabolic prediction	model / metabolite	Flux or growth	Medium defined	F4B	C4
4	C	Sensitivity	Gap-fill and medium dependence	model	Range across settings	No single-medium conclusion	F4C	C4
4	D	Validation	Orthogonal assay	experimental unit	Agreement and uncertainty	Blinded or held-out where possible	F4D	C4
4	E	Validation	Perturbation or rescue	experimental unit	Endpoint effect	Comparator and time fixed	F4E	C4
5	A	Validation	Untouched cohort effect	cohort / subject	Effect + CI	No refitting	F5A	C5
5	B	Validation	External prediction	cohort / subject	AUROC, AUPRC, calibration	Threshold locked	F5B	C5
5	C	Sensitivity	Domain-shift audit	cohort	Performance heterogeneity	Failure cohort retained	F5C	C5
5	D	Validation	Independent experiment	experimental unit	Prespecified endpoint	Biological replicates	F5D	C5
5	E	Secondary	Claim boundary	claim	Highest supported evidence rung	Forbidden leap stated	F5E	C5
