Tool	Version	ReleaseEvidence
DRAM	1.5.0	Python package metadata and exact conda lock
DRAM source forms	commit fe61d759303f30db058d5d505c448b28e41b03f1	five checksum-locked GPL-3.0 forms
METABOLIC-G	v4.0 commit 97236332519180f1d76a242dedb0aaa8191fdbb3	three checksum-locked GPL-3.0 archives
KOfamKOALA	archive 2026-06-01	profiles.tar.gz and ko_list.gz SHA-256 manifest
HMMER	3.4	exact conda locks
Prodigal	2.6.3	meta mode in both workflows
MMseqs2	18.8cc5c	DRAM exact conda lock
DIAMOND	2.2.2	METABOLIC exact conda lock
dbCAN HMM database	5.2.9 release 2026-05-05	SHA-256 396c791f...baa7a5
MEROPS pepunit.lib	current file dated 2023-02-22	SHA-256 5deb3c49...9dcd74
GTDB taxonomy context	R232	Article 46 frozen genome ledger
Plotting stack	pandas 2.2.3; matplotlib 3.11.1; seaborn 0.13.2; Pillow 12.3.0	env/drep-linux-64.lock reused as the exact figure environment
