category	check	expected	observed	status	scope
environment_contract	assembly user-site isolation	"PYTHONNOUSERSITE: ""1"""	"PYTHONNOUSERSITE: ""1"""	PASS	source YAML
direct_pin	assembly:python	3.10	3.10	PASS	source YAML
direct_pin	assembly:setuptools	<81	<81	PASS	source YAML
direct_pin	assembly:megahit	1.2.9	1.2.9	PASS	source YAML
direct_pin	assembly:spades	4.3.0	4.3.0	PASS	source YAML
direct_pin	assembly:bowtie2	2.5.5	2.5.5	PASS	source YAML
direct_pin	assembly:metabat2	2.18	2.18	PASS	source YAML
direct_pin	assembly:maxbin2	2.2.7	2.2.7	PASS	source YAML
direct_pin	assembly:concoct	1.1.0	1.1.0	PASS	source YAML
direct_pin	assembly:das_tool	1.1.7	1.1.7	PASS	source YAML
direct_pin	assembly:coverm	0.8.0	0.8.0	PASS	source YAML
explicit_lock	assembly explicit package count	>=100	239	PASS	frozen native-Linux transaction
explicit_lock	assembly:python present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:setuptools present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:megahit present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:spades present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:bowtie2 present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:metabat2 present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:maxbin2 present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:concoct present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:das_tool present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	assembly:coverm present in lock	present	present	PASS	frozen native-Linux transaction
environment_contract	biobakery user-site isolation	"PYTHONNOUSERSITE: ""1"""	"PYTHONNOUSERSITE: ""1"""	PASS	source YAML
direct_pin	biobakery:python	3.12	3.12	PASS	source YAML
direct_pin	biobakery:metaphlan	4.2.5	4.2.5	PASS	source YAML
direct_pin	biobakery:humann	3.9	3.9	PASS	source YAML
direct_pin	biobakery:bowtie2	2.5.5	2.5.5	PASS	source YAML
direct_pin	biobakery:diamond	2.2.4	2.2.4	PASS	source YAML
explicit_lock	biobakery explicit package count	>=100	554	PASS	frozen native-Linux transaction
explicit_lock	biobakery:python present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	biobakery:metaphlan present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	biobakery:humann present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	biobakery:bowtie2 present in lock	present	present	PASS	frozen native-Linux transaction
explicit_lock	biobakery:diamond present in lock	present	present	PASS	frozen native-Linux transaction
entrypoint	Python (assembly)	3.10.20	Python 3.10.20	PASS	frozen live command evidence
entrypoint	MEGAHIT	1.2.9	MEGAHIT v1.2.9	PASS	frozen live command evidence
entrypoint	SPAdes	4.3.0	SPAdes genome assembler v4.3.0	PASS	frozen live command evidence
entrypoint	Bowtie2 (assembly)	2.5.5	bowtie2-align-s version 2.5.5	PASS	frozen live command evidence
entrypoint	MetaBAT2	2:2.18	MetaBAT version 2:2.18; build 20260506_185317	PASS	frozen live command evidence
entrypoint	MaxBin2	2.2.7	MaxBin 2.2.7	PASS	frozen live command evidence
entrypoint	CONCOCT	1.1.0	concoct 1.1.0	PASS	frozen live command evidence
entrypoint	DAS Tool	1.1.7	DAS Tool 1.1.7	PASS	frozen live command evidence
entrypoint	CoverM	0.8.0	coverm 0.8.0	PASS	frozen live command evidence
entrypoint	NumPy (assembly)	1.26.4	NumPy 1.26.4 inside metagenome-assembly-2026.07	PASS	frozen live command evidence
entrypoint	setuptools (assembly)	80.10.2	setuptools 80.10.2	PASS	frozen live command evidence
entrypoint	Python (bioBakery)	3.12.13	Python 3.12.13	PASS	frozen live command evidence
entrypoint	MetaPhlAn	4.2.5	MetaPhlAn version 4.2.5 (13 Jul 2026)	PASS	frozen live command evidence
entrypoint	HUMAnN	3.9	humann v3.9	PASS	frozen live command evidence
entrypoint	Bowtie2 (bioBakery)	2.5.5	bowtie2-align-s version 2.5.5	PASS	frozen live command evidence
entrypoint	DIAMOND (bioBakery)	2.2.4	diamond version 2.2.4	PASS	frozen live command evidence
built_in_test	MEGAHIT built-in test	ALL DONE	ALL DONE in 3.854110 seconds	PASS	software installation test only
built_in_test	SPAdes built-in test	TEST PASSED CORRECTLY	TEST PASSED CORRECTLY	PASS	software installation test only
built_in_test	HUMAnN unit tests	Ran 186 tests	Ran 186 tests in 52.407s; OK	PASS	software installation test only
test_log	MEGAHIT: PASS	present	present	PASS	concise redacted install log
test_log	SPAdes: PASS	present	present	PASS	concise redacted install log
test_log	HUMAnN unit tests: PASS	present	present	PASS	concise redacted install log
test_log	CONCOCT initial entry point: EXPECTED_FAIL	present	present	PASS	concise redacted install log
test_log	CONCOCT after setuptools<81: PASS	present	present	PASS	concise redacted install log
test_log	HUMAnN bundled Bowtie2/DIAMOND: EXPECTED_FAIL	present	present	PASS	concise redacted install log
test_log	bioBakery exact relink: PASS	present	present	PASS	concise redacted install log
post_install_relink	--force-reinstall	present	present	PASS	rebuild contract for HUMAnN executable collision
post_install_relink	"""bowtie2=2.5.5"""	present	present	PASS	rebuild contract for HUMAnN executable collision
post_install_relink	"""diamond=2.2.4"""	present	present	PASS	rebuild contract for HUMAnN executable collision
post_install_relink	PYTHONNOUSERSITE=1	present	present	PASS	rebuild contract for HUMAnN executable collision
solver_boundary	biobakery	PASS_AFTER_RELINK	PASS_AFTER_RELINK	PASS	frozen solver audit
solver_boundary	assembly-core	PASS_AFTER_FIX	PASS_AFTER_FIX	PASS	frozen solver audit
solver_boundary	assembly-plus-checkm2	FAIL	FAIL	PASS	frozen solver audit
solver_boundary	database-dependent-validation	NOT_RUN	NOT_RUN	PASS	frozen solver audit
database_manifest	metaphlan-vJan26:release_id	mpa_vJan26_CHOCOPhlAnSGB_202605	mpa_vJan26_CHOCOPhlAnSGB_202605	PASS	manifest only; archive not downloaded
database_manifest	metaphlan-vJan26:checksum_algorithm	md5	md5	PASS	manifest only; archive not downloaded
database_manifest	metaphlan-vJan26:expected_checksum	7162b0c3493663dce9abef08ccc06aea	7162b0c3493663dce9abef08ccc06aea	PASS	manifest only; archive not downloaded
database_manifest	metaphlan-vJan26:download_gate	enabled	enabled	PASS	manifest only; archive not downloaded
database_boundary	metaphlan-vJan26:not downloaded	NOT_DOWNLOADED	NOT_DOWNLOADED	PASS	database-dependent workflows not claimed
database_manifest	humann-chocophlan-full:release_id	v201901_v31-full	v201901_v31-full	PASS	manifest only; archive not downloaded
database_manifest	humann-chocophlan-full:checksum_algorithm	none	none	PASS	manifest only; archive not downloaded
database_manifest	humann-chocophlan-full:expected_checksum	UNPUBLISHED	UNPUBLISHED	PASS	manifest only; archive not downloaded
database_manifest	humann-chocophlan-full:download_gate	blocked-no-upstream-checksum	blocked-no-upstream-checksum	PASS	manifest only; archive not downloaded
database_boundary	humann-chocophlan-full:not downloaded	NOT_DOWNLOADED	NOT_DOWNLOADED	PASS	database-dependent workflows not claimed
database_manifest	humann-uniref90-full:release_id	v201901b-uniref90-diamond	v201901b-uniref90-diamond	PASS	manifest only; archive not downloaded
database_manifest	humann-uniref90-full:checksum_algorithm	none	none	PASS	manifest only; archive not downloaded
database_manifest	humann-uniref90-full:expected_checksum	UNPUBLISHED	UNPUBLISHED	PASS	manifest only; archive not downloaded
database_manifest	humann-uniref90-full:download_gate	blocked-no-upstream-checksum	blocked-no-upstream-checksum	PASS	manifest only; archive not downloaded
database_boundary	humann-uniref90-full:not downloaded	NOT_DOWNLOADED	NOT_DOWNLOADED	PASS	database-dependent workflows not claimed
database_manifest	checkm2-v3:release_id	zenodo-14897628-v3	zenodo-14897628-v3	PASS	manifest only; archive not downloaded
database_manifest	checkm2-v3:checksum_algorithm	md5	md5	PASS	manifest only; archive not downloaded
database_manifest	checkm2-v3:expected_checksum	07c10655620843b517d0df0c160d911f	07c10655620843b517d0df0c160d911f	PASS	manifest only; archive not downloaded
database_manifest	checkm2-v3:download_gate	enabled	enabled	PASS	manifest only; archive not downloaded
database_boundary	checkm2-v3:not downloaded	NOT_DOWNLOADED	NOT_DOWNLOADED	PASS	database-dependent workflows not claimed
database_manifest	gtdbtk-r232:release_id	R232	R232	PASS	manifest only; archive not downloaded
database_manifest	gtdbtk-r232:checksum_algorithm	md5	md5	PASS	manifest only; archive not downloaded
database_manifest	gtdbtk-r232:expected_checksum	25a59e0352b1fd150c589f56559767d4	25a59e0352b1fd150c589f56559767d4	PASS	manifest only; archive not downloaded
database_manifest	gtdbtk-r232:download_gate	enabled	enabled	PASS	manifest only; archive not downloaded
database_boundary	gtdbtk-r232:not downloaded	NOT_DOWNLOADED	NOT_DOWNLOADED	PASS	database-dependent workflows not claimed
download_script	manifest audit	exit 0	exit 0	PASS	PASS database manifest audit: 5 rows
download_script	mutable HUMAnN endpoint fails closed	exit 2 before DB_ROOT	exit 2	PASS	negative control; no network or filesystem mutation
figure	11-environment-boundaries.pdf	exists and non-empty	29115	PASS	English publication figure
figure	11-environment-boundaries.png	exists and non-empty	222277	PASS	English publication figure
figure	11-environment-boundaries.tiff	exists and non-empty	475360	PASS	English publication figure
figure	11-toolchain-entrypoints.pdf	exists and non-empty	34707	PASS	English publication figure
figure	11-toolchain-entrypoints.png	exists and non-empty	408173	PASS	English publication figure
figure	11-toolchain-entrypoints.tiff	exists and non-empty	709372	PASS	English publication figure
figure	11-database-storage-contract.pdf	exists and non-empty	20443	PASS	English publication figure
figure	11-database-storage-contract.png	exists and non-empty	176112	PASS	English publication figure
figure	11-database-storage-contract.tiff	exists and non-empty	383524	PASS	English publication figure
