TableFamily	Operation	Verdict	Condition
Observed fragment counts	Sum within one nonoverlapping rank	Allowed	Keep sample and rank fixed; taxonomy hierarchy is not additive across ranks.
Observed fragment counts	Count likelihood	Conditional	Use biological replicates and a library-size offset; database assignment is still uncertain.
Bracken estimates	Count likelihood	Conditional	Values are redistributed estimates; a count model ignores re-estimation uncertainty.
Bracken estimates	Treat as raw observations	Forbidden	new_est_reads includes model-added fragments.
MetaPhlAn relative abundance	Close within one rank	Allowed	Filter to the terminal rank before checking 100%.
MetaPhlAn relative abundance	Raw count likelihood	Forbidden	Percentages are marker/genome-model compositions.
MetaPhlAn estimated reads	Read-level event audit	Forbidden	Read equivalents can exceed processed reads and use a balancing correction.
HUMAnN RPK	Compare gene lengths within sample	Allowed	RPK corrects feature length but not sample sequencing depth.
HUMAnN RPK	Compare samples without another denominator	Forbidden	Sequencing depth remains in the scale.
HUMAnN CoPM	Interpret as counts per million	Forbidden	HUMAnN CPM means copies per million after RPK TSS; label it CoPM.
HUMAnN CoPM/relative	Log-ratio or suitable continuous model	Conditional	Declare special rows, zero handling, and repeated-subject design.
Pathway coverage	Sum or TSS across pathways	Forbidden	Coverage is an independent bounded score, not mass.
Pathway coverage	Detection/prevalence analysis	Conditional	Predeclare the coverage threshold and analysis unit.
Genome equivalents	Interpret as cells or biomass	Forbidden	GE is total sequenced bp divided by estimated AGS.
Genome equivalents	Normalize matching-library gene RPK	Allowed	RPKG requires the exact same filtered sequence universe.
RPKG	Interpret as copies per gram	Forbidden	Absolute concentration needs spike-in, qPCR/flow cytometry, mass, or volume information.
Stratified gene families	Sum strata to community	Allowed	Only after verifying the additive gene-family contract.
Stratified pathways	Force strata to community closure	Forbidden	Community and taxon pathways are reconstructed independently.
