SectionID	EvidenceBlock	MainSpace	SupplementDetail	PlacementRule
S01	Study flow and exclusion reasons	2	2	Main flow; full sample ledger and missingness in supplement
S02	Read QC, host removal, controls	1	2	Main diagnostic summary; all per-sample metrics retained
S03	All taxa and functional effects	1	2	Selected effects in main; complete effect table in supplement
S04	Compositional and prevalence sensitivity	1	2	One stability panel in main; full grid in supplement
S05	Cross-cohort transfer and calibration	2	2	External performance is a main result; all folds and curves are archived
S06	Assembly and binning diagnostics	1	2	Yield summary in main; contig/bin diagnostics in supplement
S07	MAG acceptance table	1	2	Representative genomes in main; every MAG and reason in supplement
S08	Strain breadth, ANI, and tree robustness	1	2	Key lineage in main; thresholds and pairwise matrices in supplement
S09	Virus detection, CheckV, and vOTU audit	1	2	Validated discoveries in main; complete MIUViG ledger in supplement
S10	Virus-host evidence and negatives	1	2	High-confidence links in main; all evidence tiers and negatives retained
S11	Metabolic models and gap-fill burden	1	2	Mechanistic result in main; every model and reaction audit in supplement
S12	Medium, abundance, and solver sensitivity	1	2	One sensitivity panel in main; full parameter surface retained
S13	Software, database, container, checksum	0	2	Version ledger belongs in Methods and supplement, not a decorative panel
S14	Negative, null, and failed analyses	0	2	Failures stay visible in supplement and result ledger
