layer	action	shell	command	expected_evidence	validated_scope	blocking_failure
Windows control plane	Install WSL 2	Administrator PowerShell	wsl.exe --install	Restart completed and Ubuntu launches	Official Microsoft instruction; not executed on the native-Linux validation host	Windows version unsupported or virtualization unavailable
Windows control plane	Update WSL	Administrator PowerShell	wsl.exe --update	Command exits successfully	Official Microsoft instruction; not executed on the native-Linux validation host	Update remains incomplete after restart
Windows control plane	Verify distribution version	PowerShell	wsl.exe --list --verbose	Target distribution reports VERSION 2	Must be captured on the reader's Windows host	Target distribution reports VERSION 1
Linux execution plane	Keep the project on Linux storage	Bash	pwd && findmnt -T . -no FSTYPE,TARGET	In WSL, project path begins under /home and is not /mnt/c	Storage rule is official Microsoft guidance; local audit records native Linux separately	Active WSL project is under /mnt/c for I/O-heavy analysis
Linux execution plane	Verify architecture	Bash	uname -srm	Linux and x86_64	Executed on the validation host	Non-Linux shell or incompatible architecture for the pinned environment
Environment manager	Verify manager	Bash	conda --version && mamba --version	Both commands return versions	Executed on the validation host	Either entrypoint is unavailable
Environment manager	Create the smoke environment	Bash	mamba env create --file env/platform-smoke.yml	Named environment solves with no defaults channel	Executed once on the validation host	Solve fails or defaults enters the channel contract
Environment manager	Audit channels and solver	Bash	conda config --show channels channel_priority solver	conda-forge only in host config, strict priority, libmamba solver	Executed with sanitized output; proxy configuration is never exported	Unexpected defaults channel or non-strict priority
Tool environment	Verify exact tools	Bash	conda run -n metagenome-platform-smoke-2026.07 python --version && conda run -n metagenome-platform-smoke-2026.07 seqkit version && conda run -n metagenome-platform-smoke-2026.07 pigz --version	Python 3.12.13, SeqKit 2.10.0, pigz 2.8, Matplotlib 3.10.5	Executed on the validation host	Any requested version differs
Real-data smoke	Read frozen ENA-derived evidence	Bash	python scripts/validate_article09_environment.py --project-root . --output-dir results/09-wsl2-conda --figure-dir figures	PRJEB52977 and SAMEA14435832; 4 FASTQ sources; 15000 rows; 5000 rows per platform	Executed on the validation host; uses committed Article 08 evidence, not raw FASTQ	Source identity, row count, platform balance, or raw-data boundary differs
