Order	Milestone	Owner	RequiredArtifact	Standards	Due
1	Protocol freeze	Study lead	Design, hypotheses, inclusion and sampling frame	STORMS/STREAMS	Before collection
2	Field sampling	Field team	Site, time, environment/host and preservation ledger	STREAMS	At collection
3	Participant governance	Clinical team	Consent, ethics, protected-data access path	STORMS	Before recruitment
4	Wet lab	Laboratory lead	Kits/lots, controls, extraction, library and batch map	STORMS/STREAMS	At library freeze
5	Sequence archive	Data steward	BioProject/BioSample/SRA accessions and ID crosswalk	STORMS/STREAMS	Before submission
6	Bioinformatics	Pipeline lead	Commands, versions, databases, parameters and checksums	All four	At run freeze
7	MAG ledger	Genome analyst	Per-MAG quality and feature record	MIMAG	Before MAG claims
8	UViG ledger	Virus analyst	Per-UViG source, detection, structure and quality	MIUViG	Before UViG claims
9	Statistics	Statistical lead	Units, models, missingness, multiplicity and sensitivity	STORMS/STREAMS	Before figure freeze
10	Availability	Data steward	Processed data, code DOI, licenses and restrictions	STORMS/STREAMS	Before submission
11	N/A adjudication	Corresponding author	Reason and approver for every not-applicable item	All four	At checklist freeze
12	Final sign-off	Corresponding author	Versioned checklist plus manuscript page/line links	All four	At submission
