Category	CheckID	Status	Detail
contract	sha256-kraken.yml	PASS	51e81b16c47386ac58982445f686466b193999269ab9aef42342e15758a0c9af
contract	sha256-kraken-linux-64.lock	PASS	7ea37cd9e01dee9d6091ca42c0da7e514b637090be9e3f3362e98a0ef8b0789e
contract	sha256-16-source-manifest.tsv	PASS	8bd3fddad0754056104d91885b16d67dc51c9bf6c46b9837a71df5f70653766e
contract	sha256-16-database-manifest.tsv	PASS	b880bf02c890dbb0391035403a8b658d052025e723b457feafde5d7192d55dc6
contract	sha256-16-standard8-files.md5	PASS	8691836fe757e975828ce709d6ff0cee668102f76421d27235a762adf3844ba7
contract	sha256-16-data-NOTICE.txt	PASS	8813ed349a70b4045971f33264d96b35be420a409118446a9ab43b5cb45b14bb
contract	sha256-run-summary.json	PASS	f6dcc51b6535247de7f370dc2334994dd85dca61d3f86d252294127faa3460fe
source	source-two-mates	PASS	2
source	source-identifiers	PASS	ERR9765746/PRJEB52977/SAMEA14435832
source	source-paired-ledger	PASS	199982
database	one-database-row	PASS	1
database	database-release-fixed	PASS	Standard-8-20260626
database	database-archive-contract	PASS	7685f43cce057c2ca18511c925399b72;5946578575
database	database-cap-disclosed	PASS	Official Standard database capped at 8 GB; RefSeq archaea bacteria viral plasmid human and UniVec_Core; includes Bracken 50/75/100/150/200/250/300-mer distributions; reduced index trades sensitivity/accuracy for RAM.
environment	lock-package-count	PASS	187
environment	lock-kraken2	PASS	1
environment	lock-bracken	PASS	1
environment	lock-python	PASS	1
environment	lock-matplotlib-base	PASS	1
environment	lock-pillow	PASS	1
environment	lock-pyyaml	PASS	1
environment	version-kraken2	PASS	2.17.1
environment	version-brackencli	PASS	3.0.1
environment	version-brackenpackage	PASS	3.1p1
environment	version-python	PASS	3.12.13
environment	bracken-version-string-discrepancy-recorded	PASS	cli=3.0.1;package=3.1p1
source	clean-pair-count	PASS	99991
source	clean-pair-id-hash	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
source	clean-r1-records	PASS	99991
source	clean-r1-bases	PASS	14974589
source	clean-r1-bytes	PASS	8661319
source	clean-r1-sha256	PASS	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101
source	clean-r2-records	PASS	99991
source	clean-r2-bases	PASS	14835184
source	clean-r2-bytes	PASS	10045722
source	clean-r2-sha256	PASS	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459
database	archive-bytes	PASS	5946578575
database	archive-md5	PASS	7685f43cce057c2ca18511c925399b72
database	archive-sha256	PASS	b17d05ca1459564b49b63d014c4b2ee6ebe1ca0143e6c184e0dfd6d940a55981
database	file-md5-hash.k2d	PASS	fb429676d739aaa4d27ac6955af2e4cc
database	file-md5-opts.k2d	PASS	eebfd340c759d54c82c7769b40f7a50b
database	file-md5-taxo.k2d	PASS	f5697f04a6e072bde8504ebc6c142a22
database	file-md5-seqid2taxid.map	PASS	ea3a4f1d343b3ebb00b006dd7f629897
database	file-md5-inspect.txt	PASS	7f4a21c06c798e40fa72113916c02dcb
database	file-md5-ktaxonomy.tsv	PASS	10426b26f42652b158be8e105d10c785
database	file-md5-library_report.tsv	PASS	7be88aece0f4a57f7ebeb04f996f3c2e
database	file-md5-nodes.dmp	PASS	88a1963036ad02403f63098884d88b21
database	file-md5-names.dmp	PASS	f416ac36abeb8098fc982f216972eb8d
database	file-md5-database50mers.kmer_distrib	PASS	5d38375b0d1c874ba14203b64f759b87
database	file-md5-database75mers.kmer_distrib	PASS	8df151220e90d8fc3583a56f54490920
database	file-md5-database100mers.kmer_distrib	PASS	0b8a04b090b4193e888a61205c7156d4
database	file-md5-database150mers.kmer_distrib	PASS	aa503d2a488008ec146e58b612b52a53
database	file-md5-database200mers.kmer_distrib	PASS	ca431303ca1d5527ad79ab70fa452762
database	file-md5-database250mers.kmer_distrib	PASS	b1c2f388bc63ce817aec0ceee7c027fc
database	file-md5-database300mers.kmer_distrib	PASS	14dc39f127a44391c0c00243aca9ddf1
database	file-md5-unmapped_accessions.txt	PASS	92d7f9345471ec566014df7c69197242
database	seventeen-published-files	PASS	17
database	bracken-length-grid	PASS	[50, 75, 100, 150, 200, 250, 300]
classification	report-total-pairs	PASS	99991
classification	output-one-row-per-pair	PASS	99991
classification	output-status-conservation	PASS	C=86373;U=13618
classification	report-output-classified-agree	PASS	86373
classification	report-output-unclassified-agree	PASS	13618
classification	paired-length-field	PASS	99991
classification	paired-hit-separator	PASS	99991
classification	paired-id-lineage	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
classification	direct-assignment-conservation	PASS	99991
classification	species-positive	PASS	214
bracken	primary-species-positive	PASS	65
bracken	primary-taxids-in-report	PASS	0
bracken	primary-kraken-clade-parity	PASS	65
bracken	species-r150-t10-rows-positive	PASS	65
bracken	species-r150-t10-fraction-sum	PASS	0.9997
bracken	species-r150-t10-row-arithmetic	PASS	84147
bracken	species-r150-t0-rows-positive	PASS	214
bracken	species-r150-t0-fraction-sum	PASS	0.99897
bracken	species-r150-t0-row-arithmetic	PASS	86282
bracken	species-r100-t10-rows-positive	PASS	65
bracken	species-r100-t10-fraction-sum	PASS	0.99968
bracken	species-r100-t10-row-arithmetic	PASS	84145
bracken	genus-r150-t10-rows-positive	PASS	54
bracken	genus-r150-t10-fraction-sum	PASS	0.99974
bracken	genus-r150-t10-row-arithmetic	PASS	84430
sensitivity	threshold-zero-superset	PASS	149
sensitivity	read-length-same-threshold	PASS	100=65;150=65
sensitivity	read-length-changes-estimates	PASS	0.0013400000000000035
