number	opening	recommendation	reporting
1	先确定要测的是组成、功能潜力，还是实际活动	DNA 检出不等于表达、代谢通量或因果作用；问题需要哪一层证据，就补哪一层数据。	把测量对象和结论边界说清楚
2	先选分析对象，再决定是否组装	物种和通路比较可从参考谱开始；只有问题涉及基因上下文或具体基因组时，才增加组装和 MAG 分析。	说明分析层级与输入来源
3	多少独立样本，才足以回答研究问题？	先确定独立实验单位与主要终点，再估计效力；增加同一人的重复样本，不能替代增加受试者。	报告样本量依据、排除流程和协变量
4	测序深度应该由哪个结果决定？	用代表性样本检查目标结果是否趋于稳定；物种谱、低丰度基因和 MAG 回收不能共用一个深度标准。	交代有效测序量和停止规则
5	提取偏差与绝对数量，需要分别测量	相对丰度不能代替细胞数；外部定量参照的加入位置，决定它能够校正哪一段流程。	说明定量参照的位置和最终单位
6	降低宿主比例之后，微生物信号保住了吗？	把宿主去除率和微生物保留率同时报告；建库前耗竭与计算去宿主解决的是不同问题。	同时报告宿主去除和靶标保留
7	低生物量样本里，哪些信号来自污染？	过程空白、浓度趋势和逐样本污染负担要一起看；不要仅凭通用菌名黑名单删除特征。	记录阴性对照、批次和污染判定
8	同一份样本，短读和长读分别保留了什么？	把读长、准确度与可跨越的序列范围分开看；历史平台的比较结果不能直接代表所有新型号。	记录平台、读长分布和数据处理
9	在 Windows 上建立可检查的 Linux 分析环境	区分 Windows 管理命令与 Linux 分析命令；环境创建成功后，还要检查实际工具入口。	记录系统版本和可恢复的环境
10	先测小规模任务，再申请计算资源	用真实输入测峰值内存、磁盘和耗时；并发数应服从资源上限，失败续跑要检查输出完整性。	报告实测资源与任务恢复规则
11	软件与数据库必须分别确认版本	工具能启动不等于数据库已就绪；把软件版本、数据库 release 和入口测试分别记录。	列出软件、数据库与环境边界
12	从可用的 R 环境取回一个真实宏基因组对象	先确认包版本和资源标识，再检查对象维度、单位与样本信息；缓存可用不等于来源已经记录完整。	记录 R、Bioconductor 与资源版本
13	质控要保留可信读段，而不是把报告变成全绿	先看原始质量再选择修剪规则；成对 reads 的损失需要逐项解释，WARN 不能直接当成失败。	说明修剪参数和读段保留率
